Ticker,1Y Return (%),1M Return (%),Max Drawdown (%),Volatility (%)
SNDK,3337.36,44.74,-31.34,97.59
WDC,808.24,23.13,-20.59,62.9
MU,592.52,49.77,-30.28,63.28
STX,588.18,35.25,-21.0,62.69
INTC,405.94,57.91,-24.17,71.55
COHR,357.08,5.16,-26.52,69.76
FIX,295.24,12.4,-13.77,53.13
GLW,276.57,8.62,-23.01,52.12
AMD,266.91,51.22,-27.76,64.16
VRT,219.69,10.54,-24.78,57.49
ON,149.61,31.83,-28.1,52.75
CAT,147.7,8.93,-13.88,33.61
APA,141.47,13.09,-19.49,46.09
GOOGL,139.17,16.17,-20.37,29.05
GOOG,134.98,15.82,-20.75,28.44
DELL,111.45,21.48,-32.34,52.56
HAL,110.6,15.15,-13.1,36.59
PWR,109.95,20.13,-11.66,36.07
CMI,105.1,8.08,-15.23,31.79
JBL,102.56,5.32,-17.86,40.69
NUE,98.51,15.63,-18.43,30.98
VLO,98.11,15.59,-14.19,34.64
VTRS,97.14,12.4,-18.97,32.59
GNRC,96.24,19.31,-32.77,51.54
HPE,93.78,24.81,-23.73,39.77
AKAM,93.62,57.23,-25.44,52.72
CSCO,90.26,37.83,-13.57,29.03
ADI,89.26,12.69,-15.73,29.62
CASY,88.37,13.48,-9.47,25.43
EME,87.0,8.83,-25.15,38.04
IVZ,84.93,11.26,-22.03,34.72
JBHT,80.51,6.88,-15.87,38.08
BKR,77.67,11.13,-16.86,31.93
TRGP,70.67,17.23,-16.3,27.31
STLD,70.27,14.11,-20.33,34.57
SLB,67.75,8.53,-14.3,33.4
ADM,67.49,20.69,-12.79,26.8
IBKR,66.46,5.4,-18.7,36.88
TXN,64.08,31.46,-29.57,38.58
CBOE,64.08,22.12,-10.32,23.12
NVDA,64.03,10.23,-20.21,33.93
MPC,63.37,21.45,-18.33,31.06
STT,60.81,5.71,-11.79,24.62
EBAY,60.21,9.35,-20.67,38.09
CVS,58.49,25.27,-16.44,30.91
MCHP,57.72,17.78,-34.41,42.88
DVN,55.91,12.32,-15.06,33.2
XOM,55.54,10.34,-15.69,23.81
PSX,52.2,15.82,-17.28,30.4
BEN,52.18,17.24,-19.21,27.04
FANG,51.36,14.69,-12.53,30.57
CSX,50.28,6.65,-11.89,22.21
BIIB,48.26,8.21,-14.34,33.39
CVX,46.21,6.59,-13.99,21.67
CF,46.03,11.58,-24.87,41.64
OXY,44.16,10.99,-19.94,34.36
ROK,43.59,5.29,-18.73,27.9
AAPL,43.22,10.32,-13.8,22.54
COP,42.32,8.12,-14.9,29.22
FSLR,41.67,22.68,-35.1,55.02
NXPI,41.3,35.02,-24.58,44.81
MNST,40.76,15.41,-17.7,26.18
WST,40.6,11.29,-24.7,41.36
CRWD,39.27,45.97,-37.18,43.0
DVA,37.64,34.89,-31.36,42.84
WMB,37.06,9.19,-12.36,22.51
LYB,36.86,11.86,-35.45,46.27
DOW,36.73,8.31,-32.02,49.43
QCOM,35.6,49.52,-33.13,41.9
EXPD,34.32,6.43,-15.88,30.57
NSC,33.74,6.31,-12.47,18.88
FFIV,32.92,22.15,-34.73,32.99
MO,32.68,14.88,-16.4,22.11
LLY,31.78,6.77,-23.64,37.64
URI,31.56,18.89,-30.04,41.42
PFG,30.83,6.48,-11.96,22.08
